,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
3155,tm455636,The Dirt,MOVIE,The story of Mötley Crüe and their rise from the Sunset Strip club scene of the early 1980s to superstardom.,2019,R,108,"['drama', 'comedy', 'music']",['US'],,tt0800325,6.9,48445.0,15.86,7.518
3156,ts82912,Ratched,SHOW,"An origins story, beginning in 1947, which follows Ratched's journey and evolution from nurse to full-fledged monster tracking her murderous progression through the mental health care system.",2020,TV-MA,54,"['drama', 'history', 'thriller', 'crime']",['US'],2.0,tt7423538,7.2,54291.0,35.227,7.8
3157,tm824331,Can You Keep a Secret?,MOVIE,"Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller.",2019,,94,"['romance', 'comedy']",['US'],,tt8707922,5.3,16421.0,12.579,6.553
3158,ts84663,The Politician,SHOW,Payton has known since childhood that he's going to be president. First he'll have to navigate the most treacherous political landscape: high school.,2019,TV-14,43,"['comedy', 'drama']",['US'],2.0,tt7971476,7.5,22182.0,14.713,7.4
3159,tm441231,Murder Mystery,MOVIE,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",2019,PG-13,90,"['comedy', 'crime', 'romance', 'action']","['IT', 'MC', 'US', 'CA']",,tt1618434,6.0,124599.0,22.375999999999998,6.2
3160,tm843444,Da 5 Bloods,MOVIE,Four African-American Vietnam veterans return to Vietnam. They are in search of the remains of their fallen squad leader and the promise of buried treasure. These heroes battle forces of humanity and nature while confronted by the lasting ravages of the immorality of the Vietnam War.,2020,R,156,"['war', 'drama']",['US'],,tt9777644,6.5,50520.0,16.232,6.6
3161,tm832916,The Midnight Sky,MOVIE,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",2020,PG-13,118,"['drama', 'scifi', 'thriller', 'fantasy']",['US'],,tt10539608,5.6,82362.0,22.230999999999998,5.8
3163,ts221016,Top Boy,SHOW,"Two seasoned drug dealers return to the gritty street of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",2019,TV-MA,53,"['drama', 'crime']",['GB'],3.0,,,,24.305,8.4
3165,ts86165,The Society,SHOW,"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive.",2019,TV-MA,56,"['drama', 'scifi', 'thriller']",['US'],1.0,tt8778064,7.0,28647.0,21.138,7.7
3169,tm458553,Wine Country,MOVIE,"A group of friends head to the land of oaky Chardonnays and big, bold Cabernet Sauvignons for one member of the squad’s 50th birthday party.",2019,R,103,"['comedy', 'drama']",['US'],,tt8169446,5.4,21213.0,11.397,5.5
3170,ts218569,The Movies That Made Us,SHOW,"Unwrap the real stories behind these iconic Christmas blockbusters, thanks to insider interviews and behind-the-scenes peeks.",2019,TV-PG,47,"['documentation', 'family', 'history']",['US'],3.0,tt10681222,7.6,6288.0,10.08,7.4
3171,tm886464,The Wrong Missy,MOVIE,"A guy meets the woman of his dreams and invites her to his company's corporate retreat, but realizes he sent the invite to the wrong person.",2020,R,90,"['romance', 'comedy']",['US'],,tt9619798,5.7,39237.0,31.686,6.2
3173,tm417416,Five Feet Apart,MOVIE,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",2019,PG-13,116,"['romance', 'drama']",['US'],,tt6472976,7.2,63916.0,86.37700000000001,8.3
3174,tm439163,Brahms: The Boy II,MOVIE,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",2020,PG-13,86,"['thriller', 'horror', 'drama']","['CN', 'US', 'AU', 'CA']",,tt9173418,4.7,17048.0,29.249000000000002,6.017
3175,tm426428,After,MOVIE,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",2019,PG-13,102,"['drama', 'romance']",['US'],,tt4126476,5.2,53460.0,238.49400000000003,7.166
3176,ts84661,Cursed,SHOW,"In this fresh take on the Arthurian legend, teenager Nimue joins forces with mercenary Arthur on a quest to find Merlin and deliver an ancient sword.",2020,TV-MA,55,"['action', 'scifi', 'fantasy', 'drama']",['US'],1.0,tt8210856,5.8,29864.0,30.279,7.4
3177,tm441232,Someone Great,MOVIE,"An aspiring music journalist lands her dream job and is about to move to San Francisco when her boyfriend of nine years decides to call it quits. To nurse her broken heart, she and her two best friends spend one outrageous last adventure in New York City.",2019,R,92,"['romance', 'comedy']",['US'],,tt8075260,6.1,22277.0,14.238,6.4
3178,ts220751,Lego Jurassic World: Legend of Isla Nublar,SHOW,"Set in 2012, three years before the events of the Jurassic World movie, LEGO Jurassic World: Legend of Isla Nublar picks up where the story left off from LEGO Jurassic World: The Secret Exhibit. Newly-hired animal behaviorist OWEN GRADY and Assistant Manager of Park Operations CLAIRE DEARING team up on Isla Nublar to deal with everything hectic life around the Jurassic World park throws their way. And ""everything"" includes runaway dinosaurs, ongoing construction to expand the park, tourists everywhere, unpredictable tropical weather, and an impulsive boss. Plus, a mysterious saboteur with surprising ties to the park's past is on a quest to find a legendary treasure and destroy Jurassic World forever. What could possibly go wrong? Everything.",2019,TV-PG,22,"['comedy', 'family', 'scifi', 'animation', 'action']",['CA'],1.0,tt10872880,6.7,289.0,13.663,7.2
3179,tm450262,Last Breath,MOVIE,"A commercial diver is stranded on the seabed with only five minutes of oxygen supply, but with no chance of rescue for more than 30 minutes. With access to amazing archival footage, this is the true story of one man’s impossible fight for survival.",2019,,85,"['documentation', 'european']","['BE', 'SE', 'GB']",,tt9056818,7.7,5800.0,5.855,7.7
