,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
1474,3130,tm244207,Triple Frontier,MOVIE,"Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.",2019,R,125,"['thriller', 'action', 'crime', 'drama']",['US'],,tt1488606,6.4,125883.0,28.54,6.3,0.24444444444444444
1479,3138,tm448792,In the Shadow of the Moon,MOVIE,"In 1988, Philadelphia police officer Thomas ""Locke"" Lockhart, hungry to become a detective, begins tracking a serial killer whose crimes defy scientific explanation. When the killer mysteriously resurfaces nine years later, Locke's obsession with finding the truth threatens to destroy his career, his family, and possibly his sanity.",2019,R,115,"['scifi', 'crime', 'thriller']","['US', 'CA']",,tt8110640,6.2,52206.0,23.952,6.2,0.37209302325581395
1480,3139,tm1121246,Code 8,MOVIE,"In Lincoln City, some inhabitants have extraordinary abilities. Most live below the poverty line, under the close surveillance of a heavily militarized police force. Connor, a construction worker with powers, involves with a criminal gang to help his ailing mother. (Based on the short film “Code 8,” 2016.)",2019,,99,"['scifi', 'action', 'crime', 'thriller', 'drama']","['CA', 'GB', 'US']",,tt6259380,6.1,39469.0,18.193,6.2,0.4727272727272727
1483,3145,ts103702,Young Wallander,SHOW,Follow recently graduated police officer Kurt Wallander as he investigates his first case.,2020,TV-MA,45,"['thriller', 'crime', 'drama']",['GB'],2.0,tt9359220,6.9,11377.0,72.638,7.1,0.0
1488,3152,tm983787,Ava,MOVIE,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,2020,R,96,"['thriller', 'crime', 'action', 'drama']",['US'],,tt8784956,5.4,54279.0,155.235,5.752999999999999,0.3793103448275862
1491,3156,ts82912,Ratched,SHOW,"An origins story, beginning in 1947, which follows Ratched's journey and evolution from nurse to full-fledged monster tracking her murderous progression through the mental health care system.",2020,TV-MA,54,"['drama', 'history', 'thriller', 'crime']",['US'],2.0,tt7423538,7.2,54291.0,35.227,7.8,0.36363636363636365
1494,3159,tm441231,Murder Mystery,MOVIE,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",2019,PG-13,90,"['comedy', 'crime', 'romance', 'action']","['IT', 'MC', 'US', 'CA']",,tt1618434,6.0,124599.0,22.376,6.2,0.41509433962264153
1497,3163,ts221016,Top Boy,SHOW,"Two seasoned drug dealers return to the gritty street of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",2019,TV-MA,53,"['drama', 'crime']",['GB'],3.0,,,,24.305,8.4,0.4444444444444444
1510,3181,ts113842,Giri/Haji,SHOW,"A detective from Tokyo scours London for his missing brother, who's been involved with the Yakuza and accused of murder.",2019,TV-MA,58,"['drama', 'thriller', 'crime']",['GB'],1.0,tt8001106,7.8,14008.0,14.215,7.7,0.5
1518,3191,ts237560,Jeffrey Epstein: Filthy Rich,SHOW,Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.,2020,TV-MA,57,"['documentation', 'crime']",['US'],1.0,tt12312250,7.1,23816.0,9.369,7.2,0.3333333333333333
